Image,TitleHeader,TitleMain,TitleUnknown,TitleAuthors,TitleCollege,TitleDepartment,TitleDate,TitleFooter,AbstractHeader,AbstractAuthors,Abstract,AbstractContent,AbstractCollege,AbstractKeywords,AbstractFooter,Uncategorized
data_108.jpg,Lyceum of the Philippines University,CORPORATION,,,,,"Alcantara, Michelle Joy B. Enguancho, Rhia Angelica S. Ferrer, Ainna S. Fortus, Kristine Faye E. Romasanta, Dana Krizca E. September 2015",COLLEGE OF BUSINESS ADMINISTRATION,,,,,,,,
data_109.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY - CAVITE,DAVAO FOOD COMPLEX: A BOND BETWEEN AGRICULTURAL PROCESSING SECTOR AND TOURISM THROUGH EFFICIENT PLANNING INCORPORATING CONTEXTUAL ARCHITECTURE,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",JOLEENE SHEINE A. BAWALAN JOYCE ANN S. ESTANQUE,"An Undergraduate Thesis Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University Cavite",Bachelor of Science in Architecture,July 2019,,,,,,,,,
data_11.jpg,,,,,,,,,,,ABSTRACT,"Mount Palay-palay Mataas na Gulod Protected Landscape had experienced overexploitation, deforestation and land degradation before it was declared as a protected landscape. The Philippine government had been continuously exerting their efforts in monitoring the protected areas’ status; however, few accounts of the association of physicochemical and environmental factors to tree species diversity were recorded. The study specifically aimed to assess the plant diversity and ecology of the NE slope of MPMNGPL. Variables such as physicochemical, site and environmental factors were taken on 2 transects consisting of 10 nested plots each measuring 10x10m with 40m interval. Plant data from the plots revealed that there are 67 plant species wherein 66 are native and 1 is non-native which is Paspalum conjugatum and Sapindales is the most dominant order. NPK values are affected by soil pH as soil moisture is to relative humidity and canopy cover. Elevation is inversely proportional (p<0.05) to the distance of trees, DBH and species richness. However, using Pearson — correlation, the study shows an insignificant relationship (p<0.05) between physicochemical factors and species diversity in MPMNGPL. Therefore, according to the results of the data analysis, the physicochemical properties which served as parameters of this research do not have a significant relationship with plant diversity because MPMNGPL different rehabilitation programs and is not a virgin forest anymore.",College of Arts and Sciences,Keywords : Mount Palay-palay; Cavite Protected Landscape; Southern Luzon; DENR; Plant diversity; Physicochemical Factors,,
data_110.jpg,,The Level of Awareness Among Third Year High School Students of Paliparan National High School on the Possible Dangers of using Facebook,Jenelle,Lynwil M.  Torda,College of Arts and Sciences,"Bachelor of Arts in Communication, Major in Broadcasting",March 2012,,,,,,,,,
data_111.jpg,,A STUDY ON TECHNOPHOBES AND THEIR DIFFICULTIES IN UTILIZING SOCIAL MEDIA TO GATHER NEWS AND INFORMATION,,GINNELYN M. ANDALEON MARIA THERESA B. BORITA MIN HEE YU,,Bachelor of Arts in Communication with specialization in Broadcasting,June 2018,COLLEGE OF ARTS AND SCIENCES,,,,,,,,
data_112.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,"A Capstone Project Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University - Cavite","COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",LUIS ELMO P. ACOSTA JOHN DAYBERT S. ALHAMBRA NIKKO D. BARREDO JUAN PAULO T. PALPAL-LATOC JOSHUA T. SEPILLO,,Bachelor of Science in Information Technology,April 2019,DEVELOPMENT OF HEALTH SERVICES MANAGEMENT SYSTEM FOR THE LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE CAMPUS,,,,,,,,
data_113.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,COMMUNICATIVE LEADERSHIP COMPETENCIES OF SELECTED TEAM LEADERS OF BPO COMPANIES IN CAVITE,,MICAH ELOISE A. HABER JOSE FIDEL I. LARODA MA. ANGELICA JEAN T. NEGOSA,,Bachelor of Arts in Communication with specialization in Broadcasting,May 2019,COLLEGE OF ARTS AND SCIENCES,,,,,,,,
data_114.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,"College of Engineering, Computer Studies and Architecture","ENGR. ARN AVELINO Chairperson, DOEA",,,Bachelor of Science in Industrial Engineering.,,,,,,,,,,
data_115.jpg,,| LYCEUM OF THE PHILIPPINES UNIVERSITY - CAVITE,THE LAST LUNG OF MANILA: A PROPOSED MASTER PLAN FOR THE RE-DEVELOPMENT OF ARROCEROS FOREST AS AN ECO- TOURISM PARK FOR ENVIRONMENTAL AWARENESS,GLEN REI V. GUINTO SHAIRA M. MACATIGBAC,"A Thesis Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University - Cavite",Bachelor of Science in Architecture,April 2019,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,,,,,
data_116.jpg,,,,,,,,,,,"Abstract This study aimed to introduce board games as a viable interactive medium despite the Current digital landscape of gaming. While not a wholly lost art and medium, the understatement of board games and the factors in learning it made it a output to for. The topic itself of history was chosen as history education in the Philippines is in a state of neglect, producing citizens that shrug off history, its events, impacts, and importance today. The neglect of giving history importance allows for the spread of misinformation, recurrence of past mistakes, and abuse of power from those",audiences.,College of Fine Arts and Design,"Keywords: Board Game, Education, Gaming, History, Interactive",,
data_117.jpg,,"Understanding the Lived Experiences of Inmates on Reformation Program Implementation of Bureau of Jail Management | and Penology in Imus, Cavite",Victoria Isabel Chavez,"Joyce R.  San Luna Alyssa C, Vallarta",,Bachelor of Arts in Legal Studies,April 2018,COLLEGE OF ARTS AND SCIENCES,,,,,,,,
data_118.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY - CAVITE,"LAYAG: ALDASNDO, TRI-CITY FERRY SYSTEM: FOR A GREATER INTRA-REGIONAL CONNECTIVITY",,VALMONTE VINCENT C. Sn. 2014-01337,"An Undergraduate Thesis Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University - Cavite",Bachelor of Science in Architecture,November 2018,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,,,,,
data_119.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,AACLA: THE DEVELOPMENT OF AN ANDROID APPLICATION FOR ANATOMY OF ANIMALS,IAN RICO ALCORIZA MICHAEL RYAN DAYDAY MARIEL MAGRACIA ELLYSSA GHEM MENDOZA ARIELL ALLYSON OLEGARIO DENNIS RUIZ,,"A Capstone Project Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University - Cavite",Bachelor of Science in Information Technology,April 2019,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,,,,,
data_12.jpg,,,,,,,,,,Stephen F.  and Atty.,Abstract,May 2016,College of Arts and Sciences,"Keywords; Fake News, Legal Implications, Politics",,
data_120.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,STUDY ON THE LEGAL OF FAKE NEWS IN PHILIPPINE POLITICS,2018,JOSHUA ALAN BUENDIA SOFIA YZABEL I. CRUZ NEIL STEPHEN F. NAVIGAR,,Bachelor of Arts in Legal Studies,,COLLEGE OF ARTS AND SCIENCES,,,,,,,,
data_121.jpg,,,,,,,,,,,,"design, experiential architect","‘ ARCHITECTURE COLLEGE OF ENGINEERING, COMPUTER STUDIES, AND","Keywords: natural disasters, disaster preparedness, experiential museum, muscum",,
data_122.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,E-LIBRARY USAGE MONITORING SYSTEM AND KIOSK WITH SMART CARD ID APPLICATION FOR LYCEUM OF THE UNIVERSITY CAVITE “LyKIOSK”,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",LAWRENCE A. BENITEZ EMER NINO E. INTING MARK LEO B. JALANDONI JENNY G. ZULUETA,,Bachelor of Science in Information Technology,October 2013,,,,,,,,,
data_123.jpg,,,,,,,,,,,,,,,,COLLEGE OF BUSINESS ADMINISTRATION
data_124.jpg,,,,,,,,,,REENA MAURIE M. BATINO PRINCELINCONBRENZLEYDARYL JADE D. DEL MUNDO PRECIOUS ANGEL E. PORTUGUEZ PATRICIA VENISE M. VELASCO,,December 2018,College of Arts and Sciences,,,
data_125.jpg,,,,,,,,,,,,,,,,Product type of business in which we sell coffee beans and powdered coffee.
data_126.jpg,,In Partial Fulfillment of the Requirements of the degree Bachelor of Science in Customs Administration,,,,,"By: Bantilan, John Chin M. Francisco, John Vincent T. Mitchell Cyril B. Grepo, Sherwin S. Guerrero, Christian J. February 2020",COLLEGE OF BUSINESS ADMINISTRATION,,,,,,,,
data_127.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,PLANT DIVERSITY OF THE NORTHEAST SLOPE OF MOUNT PALAY- PALAY MATAAS NA GULOD PROTECTED LANDSCAPE,"Fallurin, Alfa-",,,Bachelor of Science in Biology,"Joy V.  Malajito, Josef Johannes M. May 2019",COLLEGE OF ARTS AND SCIENCES,,,,,,,,
data_128.jpg,,DREAM WORKS: Digital of Interpreted Dreams Showcasing Recent Early Dream Scenarios In A Semi-realistic Cartoon Style,,,,Bachelor of Multimedia Arts,"Rebolledo, Knicole d.P. Yutuc, Mariko D. June 2022",COLLEGE OF FINE ARTS AND DESIGN,,,,,,,,
data_129.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,AGIMAT: AN ADVENTURE ROLE PLAYING PC GAME BASED ON THE PHILIPPINE HISTORY AND FOLKLORE,,ZOREN SERGE L. LEGASPI JHOMANE M. PONTERES GLENN B. REGIO LAENGEL N. TONGOL,"A Capstone Project Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University — Cavite",Bachelor of Science in Information Technology,May 2018,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,,,,,
data_13.jpg,,,,,,,,,,,ABSTRACT,"Forces of the Philippines served us in order to protect our country against war but unfortunately, the government is not focusing on how they will be after the war and providing them with sufficient facilities to ensure their health, not only physically but also mentally. With the growing number of military personnel in the country, there are only two distinct medical facilities that cater military personnel; these are the AFP Medical Center and the VMMC. As a result, overcrowded, bed congestion and deficiency in medical facilities causes unresponsiveness in healthcare and services. The challenge is to design an efficient medical facility that will give solution for this research and at the same time, giving accurate spaces for a better programs and following psychological guidelines to ensure the goal of the research that will give our Armed Forces of the Philippines a better services where members will be identified via screening for having PTSD and also a place where they can be taken care by giving solutions to the current situation. The main goal of the study is to establish a military facility specializing in recovery of Post-Traumatic Stress Disorder that creates a therapeutic environment that will be essential in patient centered environment, and by making sure that the military is screened before and after every battles and that veterans and their family are not only assisted to treat from PTSD, but also to raise awareness and learn how to support people suffering from this disorder. Military, uniformed officers, but also our compatriots will benefit from this institution. With the knowledge and the years of experience in PTSD from the Psychiatric Department of AFP Medical Center, the required outcome can be achieved by solving one of our nation's primary mental health issues, the Post Traumatic Stress Disorder.","COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE","Keywords: Mental Health, Post-Traumatic Stress Disorder, Armed Forces of the Philippines, Psychiatry, AFP Medical Center, Veterans Memorial Medical Center",,
data_130.jpg,,,,,,,,,,"Lia G.  Krystelle Anne Loyola’, and Ms.",Abstract,"Cloud computing gained a lot of attention over the last few years. The need for maintaining a large amount of data within an organization is a great concern together with the rapid changes in the technology. This project aimed to provide an infrastructure in a form of a virtual system that will accommodate the needs of small to medium scale businesses from its existing resources to its communication apprehensions that will revolve around the concept of private cloud computing. The purpose of this project is to give organizations and future researchers an idea that something can be created out of existing and available resources that will go with the rapid development of technology and will comply with legal standards. The development team created the system through the use of shell scripting together with the GUI mode which enable clients to load independent operating system different from other existing cloud computing approaches. The results of this study show that this kind of system will provide a good infrastructure in terms of mobility, scalability, and economic cost but will not jeopardize performance and consistency. It can be concluded that this system has the potential to be implemented in the industry which will be a great benefit to all organizations that will adapt a new cloud computing trend.","COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE","Keywords: Cloud Computing, Virtualization, IP PBX, IaaS, Private Cloud",,
data_131.jpg,,MOVING TABLES: THE ASCENDING CONTEMPORARY INDEPENDENT FILMS IN THE PHILIPPINES,,SHANNON MAE R. ALILIO ELMER S. CORPUZ JR. APRIL MAE B. TEODOSIO,,Bachelor of Arts in Communication with Specialization in Broadcasting,March 2015,COLLEGE OF ARTS AND SCIENCES,,,,,,,,
data_132.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,Utilizing Asian Green Mussel Shell as an Alternative Calcium Carbonate Source in the Production of Enamel Paint,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Robert J.  Reyes Jr. Apple F.  Urmanita,"College of Engineering, Computer Studies, and Architecture",Bachelor of Science in Architecture,July 2023,,,,,,,,,
data_133.jpg,,,,,,,,,,,ABSTRACT,"replacement shown as the strength while for water absorption the 15% effective. The data also shown that the compressive strength and water absorption of most effective partial replacement was better than the conventional CHB. However, the conventional CHB had the lowest cost compared to different partial replacement. The researchers observed that the utilization of PEW as partial replacement was effective in production of CHB. most",,"Keywords: Plastic E-waste, Coarse Aggregate, Partial Replacement, Mixture",,
data_134.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,"DEVELOPMENT OF WEBSITE AND RESERVATION SYSTEM WITH POINT OF SALE FOR WATER CAMP RESORT KAWIT, CAVITE. A Capstone Project Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University - Cavite",2018,FAITH BIANCA ACENO JOHN LOUIE D. CULANDING GERALD FORD B. MANTILLA JOHN DERRICK B. REYES,,Bachelor of Science in Information Technology,,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,,,,,
data_135.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY - CAVITE,DEVELOPMENT OF SMART CALCMETER,February 201 5,GENESIS A. AALA DANIEL NICO REPE AUBREI LAUDEL SILVANO ROYCE T. SOROSORO,"A Thesis Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University - Cavite",Bachelor of Science in Electronics Engineering,,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,,,,,
data_136.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,LPU DEVELOPMENT OF LPU-CAVITE VIRTUAL APPLICATION,,,"A Capstone Project Submitted to the Faculty of the College of Engineering, Computer Studies Lyceum of the Philippines University - Cavite",Bachelor of Science in Information Technology,APPIAH ABRAHAM A. CALMA JONNEL R. ESCOBIDO SHANIA CAMILLE FULLEROS E. RAPI ARTHUR A. May 2021,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,,,,,
data_137.jpg,,ReDEAFining Architecture: A Deaf-centered Learning School Through Multisensory Design,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Ma. Elline O.  Tutor,"College of Engineering, Computer Studies, and Architecture",Bachelor of Science in Architecture,August 2024,,,,,,,,,
data_138.jpg,,Development of APL Corporate Garments Corporation Monitoring and Payroll System with Fingerprint Biometric Scanner,Parland Cadlaon,,Presented to the faculty of the,In partial fulfillment,March 2013,,,,,,,,,
data_139.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY - CAVITE,A Proposed Natural Disaster Preparedness Experiential Museum,Nichole,Marielle B.  Jeciel,,Bachelor of Science in Architecture,September 2024,"COLLEGE OF ENGINEERING, COMPUTER STUDIES, AND ARCHITECTURE",,,,,,,,
data_14.jpg,,,,,,,,,,Derrick B.  Mr.,Abstract,"Water Camp Resort located at Kawit, Cavite is currently using manual business processes and an outdated website that is not capable of online reservation. This leads the business to encounter some mismanaged transactions such as overlapping of dates in room reservations, miscalculation in computing bills, to miss potential customers that can access the website and submit an online reservation. The project aims to develop a system that can handle the reservation system of the front desk office and its point of sale and the room item inventory. Along with this is a website with online reservation that can allow customers to view what the resort has to offer and submit reservations. The mentioned business processes were accomplished through the use of various Web Technologies such as CSS3, JavaScript and PHP together with a database management system, MS SQL and was web hosted by GearHost. These technologies made the project fitting to the needs of the client and successful for the reason that these technologies are innovative and on trend. The software development cycle used in developing the system is the iterative and incremental modal. The test was successfully conducted with the use of functionality, unit and compatibility instruments and with a result result of one hundred percent (100%) passing grade. Meanwhile, the evaluation process was based on the three (3) evaluation instruments. First, the Web Criteria by Mostakis received a “3.63” as the average mean, “0.46” as the average standard deviation. Second, the Criteria for Content Management System received a “3.54” for the average mean and “0.49” for the average standard deviation. Lastly the Software Criteria Based on ISO 9126-1 received a “3.64” for the average mean and “0.54 for the average standard deviation”. The evaluation was participated by the owner of the resort staff and ten (10) IT Experts. The acceptability of the project resulted as “Highly Acceptable” for all the evaluation instruments used.","COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE","Keywords: Water Camp Resort, Reservation System, Point of Sale, Inventory System, Online Website",,
data_140.jpg,,WEB- BASED ELECTRICAL SYSTEM DESIGN CALCULATOR FOR RESIDENTIAL BUILDING,,PAUL VINCENT L. ALEGRE DAVE LESTER G. BINAUHAN JENOS VENCEL A. ILAGAN PETER JAKE B. PRETENCIO JOHN HARLEY P. TRIAS,"A Thesis Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University - Cavite",Bachelor of Science in Electronics Engineering,February 2017,"OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,,,,,
data_141.jpg,,,,,,,,,,,ABSTRACT,"textile in the modern era of Philippine fashion. Handloom weaving is a significant tradition that embodies the spiritual beliefs of many indigenous tribes in the Philippines. In the modern era, most Filipinos generally follow popular fashion trends that are derived from foreign influences; therefore, many Filipinos are unaware of our locally and culturally made products and garments. This study is heavily reliant on the insights and answers of the expert participants. The researchers were able to interview Mr. Michael Angelo Yambok, head of the T’boli cluster of the NCCA Subcommission on Communities and Traditional Arts and the president of Lake Sebu’s Cultural Workers Association; Mr. Dante Mana, fashion designer and owner of Durante Clothing; and Mr. RL fashion designer and owner of Estelu by RL Omadle. Ultimately, the researchers concluded that the importance of the T’boli tribe’s T’nalak weave towards the modem era of Philippine fashion is that the indigenous textiles, specifically the Tnalak, possess a huge role in providing livelihoods to the T’boli community; cultural awareness in regards to the T’nalak textile and the traditions it is vital to conserving our Philippine indigenous heritage; and utilizing the T’nalak textile appropriately to modern attire helps in the promotion and recognition of the indigenous community.",College of Fine Arts and Design,"Keywords: T’boli tribe, T’nalak, Indigenous textiles, Fashion Design, Modem Fashion",,
data_142.jpg,,,,,,,,,,,Abstract,nor be criticized on what they do. Respect the work of other.,College of Arts and Sciences,"Keywords: Weddings, Wedding Videographer, Video Documentary",,
data_143.jpg,,,,,,,,,,,ABSTRACT,"The purpose of this study is to Propose a “Sea Turtles Research Center and Marine Life Hospital in Region IV-A that will enlighten people the importance of marine species especially marine turtles in the ecosystem and to promote conservation and protection of marine biodiversity, and also to engender cooperation among public and private sector and individuals in supporting worldwide mission “Rescue, Rehabilitation, and Release”. Since the site occupies only a small hectare from Lobo, Batangas, the project also aims to become one of the landmarks of the town, by providing inter-active facilities to and rehabilitate. protect","COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE","Keywords: Research center, sea turtle, rehabilitation",,
data_144.jpg,Lyceum of the Philippines University,An Undergraduate Thesis Presented to the,Ranica,Lane D.  Meralpis,,In Partial Fulfillment,June 2022,#MENARETRASH: A STUDY ABOUT THE AWARENESS AND EXPERIENCES OF SELECTED COLLEGE OF ARTS AND SCIENCES STUDENTS ON ONLINE SEXUAL HARASSMENT,,,,,,,,
data_145.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,CHICK N’ CO,OF BUSINESS,"Mabingnay, Chrissy Nicole D. Porquez, Francis Ryan",Presented to the Faculty,Partial Falfillment of the Requirements for the Degree,July 2023,Bachelor of Science in Business Administration,,,,,,,,
data_146.jpg,,COMPARATIVE EVALUATION OF BIODEGRADATION EFFICIENCIES IN molitor AND Zophobas atratus LARVAE,Krissa,Chester O.  Saquilayan,,Bachelor of Science in Biology,June 2024,COLLEGE OF ALLIED MEDICAL SCIENCES,,,,,,,,
data_147.jpg,,LYCEUM OF THE PHILIPPINES UNIVERSITY — CAVITE,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",JOHANNA YVONNE G. JIMENEZ CHIEL HANEI T. MACALALAD,"College of Engineering, Computer Studies, and Architecture",Bachelor of Science in Architecture,November 2018,,,,,,,,,
data_148.jpg,LYCEUM OF THE PHILIPPINES UNIVERSITY CAVITE,CLOUDOSX: VIRTUAL SYSTEM AND IP PBX WITH IMPLEMENTATION OF PRIVATE CLOUD COMPUTING,,KO YOUNG IL LIA G. BANDAHALA KRYSTELLE ANNE H. LOYOLA,"A Thesis Project Submitted to the Faculty of the College of Engineering, Computer Studies and Architecture Lyceum of the Philippines University - Cavite",Bachelor of Science in Computer Science,March 2015,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",,,,,,,,
data_149.jpg,,,,,,,,,,,,,,,,"Amaldo Highway, Barangay Santiago, General Trias, Cavite"
data_15.jpg,,,,,,,,,,Harley P.  and Engr.,ABSTRACT,"The use of computer software as aid in designing electrical plans for residential building base on Philippine electrical code is not commonly used. The challenge facing mankind today is focused on how to upgrade the conventional making and computation of electrical plans for residential buildings in the Philippines. Computer Softwares are widely developed throughout because of its high technological value, convenience of usage and flexibility to change, is chiefly used worldwide in the offices, schools, banks, airports, seaports, military, navigation systems, astrology and many more depending on its purpose. Computer softwares are used in some purposes like automation, simplification, and etc. Research must show the advantages and safety of using computer software in designing electrical plans for residential buildings in the Philippines. Such use of computer software may simplify conversion of conventional way of designing electrical plans for residential building into a new automatic way of designing using computer software for faster and convenient way of designing. The study aimed to investigate the accuracy of designing electrical plans for residential buildings using computer software and compare to the conventional way of designing and also to test the reliability of the software. The use of computer software in designing electrical plans for residential buildings has beneficial effects with respect to the automation in making a design and providing reliable details about the design with the standards stated at the book Philippine Electrical Code 2008. The research results are mainly significant in proving its reliability in providing correct results of electrical plan for residential building via computer software.","COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE","Keywords: LPU-Cavite, Residential Building. Electrical Design, Electrical Engineers, Electrical Technicians",,
