index,title,authors,college,department,abstract,keywords,pubdate
11,"DEVELOPMENT OF WEBSITE AND RESERVATION SYSTEM WITH POINT OF SALE FOR WATER CAMP RESORT KAWIT, CAVITE. ",FAITH BIANCA ACENO JOHN LOUIE D. CULANDING GERALD FORD B. MANTILLA JOHN DERRICK B. REYES,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Information Technology,"Water Camp Resort located at Kawit, Cavite is currently using manual business processes and an outdated website that is not capable of online reservation. This leads the business to encounter some mismanaged transactions such as overlapping of dates in room reservations, miscalculation in computing bills, to miss potential customers that can access the website and submit an online reservation. The project aims to develop a system that can handle the reservation system of the front desk office and its point of sale and the room item inventory. Along with this is a website with online reservation that can allow customers to view what the resort has to offer and submit reservations. The mentioned business processes were accomplished through the use of various Web Technologies such as CSS3, JavaScript and PHP together with a database management system, MS SQL and was web hosted by GearHost. These technologies made the project fitting to the needs of the client and successful for the reason that these technologies are innovative and on trend. The software development cycle used in developing the system is the iterative and incremental modal. The test was successfully conducted with the use of functionality, unit and compatibility instruments and with a result result of one hundred percent (100%) passing grade. Meanwhile, the evaluation process was based on the three (3) evaluation instruments. First, the Web Criteria by Mostakis received a “3.63” as the average mean, “0.46” as the average standard deviation. Second, the Criteria for Content Management System received a “3.54” for the average mean and “0.49” for the average standard deviation. Lastly the Software Criteria Based on ISO 9126-1 received a “3.64” for the average mean and “0.54 for the average standard deviation”. The evaluation was participated by the owner of the resort staff and ten (10) IT Experts. The acceptability of the project resulted as “Highly Acceptable” for all the evaluation instruments used.","Keywords: Water Camp Resort, Reservation System, Point of Sale, Inventory System, Online Website",2018
12,WEB- BASED ELECTRICAL SYSTEM DESIGN CALCULATOR FOR RESIDENTIAL BUILDING,PAUL VINCENT L. ALEGRE DAVE LESTER G. BINAUHAN JENOS VENCEL A. ILAGAN PETER JAKE B. PRETENCIO JOHN HARLEY P. TRIAS,"COLLEGE OF ENGINEERING, COMPUTER STUDIES, AND ARCHITECTURE",Bachelor of Science in Electronics Engineering,"The use of computer software as aid in designing electrical plans for residential building base on Philippine electrical code is not commonly used. The challenge facing mankind today is focused on how to upgrade the conventional making and computation of electrical plans for residential buildings in the Philippines. Computer Softwares are widely developed throughout because of its high technological value, convenience of usage and flexibility to change, is chiefly used worldwide in the offices, schools, banks, airports, seaports, military, navigation systems, astrology and many more depending on its purpose. Computer softwares are used in some purposes like automation, simplification, and etc. Research must show the advantages and safety of using computer software in designing electrical plans for residential buildings in the Philippines. Such use of computer software may simplify conversion of conventional way of designing electrical plans for residential building into a new automatic way of designing using computer software for faster and convenient way of designing. The study aimed to investigate the accuracy of designing electrical plans for residential buildings using computer software and compare to the conventional way of designing and also to test the reliability of the software. The use of computer software in designing electrical plans for residential buildings has beneficial effects with respect to the automation in making a design and providing reliable details about the design with the standards stated at the book Philippine Electrical Code 2008. The research results are mainly significant in proving its reliability in providing correct results of electrical plan for residential building via computer software.","Keywords: LPU-Cavite, Residential Building. Electrical Design, Electrical Engineers, Electrical Technicians",February 2017
13,TO BE SAFER OR TO SUFFER?: THE EFFECTIVENESS OF THE COMMUNICATION PLAN OF THE DOST’S SCIENCE FOR SAFER COMMUNITIES CAMPAIGN,MELANIE N. DE TORRES | ENRICO L. LAMPA JR. TRISHA MARIE ROSETE,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Communication,"The purpose of this research is to determine the effectiveness of the communication plan used by the Department of Science and Technology in orienting the local government to disseminate the Science for Safer Communities campaign to the residents of Barangay Kaybagal, Tagaytay City. Researchers employed mixed method by using the Exploratory Sequential Design in which the researchers followed the sequence of gathering necessary data through archives and interview conducted to five participants — DOST chief of staff, Tagaytay Disaster Risk Reduction and Management Council officer in charge, barangay kagawad, barangay treasurer and barangay secretary, before survey took place in Barangay Kaybagal, Tagaytay City. The results show that Barangay Kaybagal residents were informed and educated by the local government units about the S4SC campaign using the strategies of the DOST. Thus, it can be concluded that communication plan applied in the campaign dissemination is effective since the residents are still aware and applying the learnings from the campaign even after it ended. It is suggested that communication plan proposal must be made when planning to launch a campaign or program to have the desire effect.","Keywords: Campaign Dissemination, Communication Plan, Effectiveness, Science for Safer Communities",March 2015
14,THE LAST LUNG OF MANILA: A PROPOSED MASTER PLAN FOR THE RE-DEVELOPMENT OF ARROCEROS FOREST AS AN ECO- TOURISM PARK FOR ENVIRONMENTAL AWARENESS,GLEN REI V. GUINTO SHAIRA M. MACATIGBAC,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Architecture,"The main objective of this architectural thesis is to provide a feasible study regarding the last remaining forest park of the City of Manila, Arroceros Forest Park. The study emphasized the re-development of the Arroceros Forest Park together with its strategic planning and design in order to preserve and showcase the beauty and importance of the last remaining forest of the City of Manila by providing the needs of the visitors and to aware the public on today’s environmental issues, specially in the country’s capital city to show environmental awareness for the public to appreciate and introduce the overall value of Arroceros Forest Park. Making it functional by providing facilities for the need of the visitors at the same time conserving the urban forest park are beneficial to both nature and humans. The study conducted on  —  at the Arroceros Forest Park in Ermita, Manila. The study also emphasized the laws that will be used in designing and planning such as DENR Forest Park Guidelines Volume 4, Rules and Regulations to Govern the Accreditation of Ecoguides, Ecotours, Ecolodges and Ecotour Facilities, National Building Code of the Philippines, Fire Code of the Philippines and etc.","Keywords: Arroceros Forest Park, Environmental Awareness",April 2019
15,COMMUNICATIVE LEADERSHIP COMPETENCIES OF SELECTED TEAM LEADERS OF BPO COMPANIES IN CAVITE,MICAH ELOISE A. HABER JOSE FIDEL I. LARODA MA. ANGELICA JEAN T. NEGOSA,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Communication,"to The study generally aimed evaluate the communicative leadership competencies particularly the team leaders of selected BPO companies in Cavite. To achieve the kind of teamwork and rapport that is necessary, team leaders need continuous improvement of their leadership skills and knowledge to be competitive in the business market. The researchers used the quantitative type of research specifically the descriptive study also known as statistical research to describe the characteristics of a phenomenon being studied. The research was conducted at SM IQOR, Robinsons IQOR, Callmax and TaskUs that are all located in Cavite having (69) team leaders as the respondents who answered the questionnaire developed by the researchers. The findings of the study showed that the selected team leaders in BPO companies in Cavite reflects that they excel in oral and written communication skills. Team communication skills shows that most of the leaders in each company answered Often to the questions regarding meetings, the Strategic and external relations skills shows that these team leaders reinforce the organization’s mission, vision and values, and the internal communications connected to them are integrated into operational processes.","Keywords: Communicative Leadership, BPO, Team Leaders",May 2019
16,DEVELOPMENT OF SMART CALCMETER,GENESIS A. AALA DANIEL NICO REPE AUBREI LAUDEL SILVANO ROYCE T. SOROSORO,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Electronics Engineering,"The purpose of this research is to develop a device to be used by the students of College of Engineering, Computer Studies and Architecture (COECSA) especially the electronics engineering students of the Lyceum of the Philippines - Cavite campus. This device is called the Smart Calcmeter. Its precision, accuracy and effectiveness were tested using different methods namely, calibration, comparison and validation. Applied research method was used in the study together with the systematic and practical application of the microcontroller. The results obtained using different testing, calibration, evaluation and validation are included in this manuscript. These results shows that the prototype is working and is ready to be used by the students and instructors. Hence, it can be concluded that the Smart Calcmeter can be in lined with the commercial and also industrial level multimeters but still needs more recommendation and modifications.","Keywords: Smart Calcmeter, microcontroller. COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",February 2015
17,THE DEVELOPMENT OF HOSPITAL’S PATIENT RECORD USING QUICK RESPONSE (QR) CODE,CRISOSTOMO ALDIEN L. DELA CRUZ JED GABRIEL D. SENO MICA PAULENE J. TIBAYAN DAWN D. ZABALA,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Computer Engineering,"The purpose of this study is to develop a hospital’s patient record using QR code to gather information easier by utilizing its precise interface which reduces the hassle of the patients when acquiring information and managing data. The Software application was developed using Netbeans IDE 8.0, Java 1.7 and SQLite manager. The kiosk was made with various peripherals such as continuous printer, QR code scanner, that scans up to 2 inches away, and Uninterrupted Power Supply that lasts for 10 minutes to prevent the loss of data and continue its operation for certain amount of time. Experimental method was used to ensure the internal and external validity of the study. Certain tests that were integral to the study include Efficiency, Accuracy, Reliability, User-friendliness, Maintainability and Portability.","Keywords: Hospital’s Patient Record System, Kiosk, QR",March 2016
18,MOVING TABLES: THE ASCENDING CONTEMPORARY INDEPENDENT FILMS IN THE PHILIPPINES,SHANNON MAE R. ALILIO ELMER S. CORPUZ JR. APRIL MAE B. TEODOSIO,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Communication,"The purpose of this research is to understand and analyze the factors that caused the emergence of independent filmmaking, its present condition and how the past affected its present situation. Qualitative method was used in the study and interview was conducted to four participants: a screenwriter-filmmaker, a novelist, an independent film director and a film instructor. The researchers also employed the historical approach. This approach aimed to show how the independent films in the Philippines have changed. The interview supports the various literatures that have been studied by the researchers. The results show that the advent of digital technology and the pursuit of art caused the emergence of independent films, and the continuing technological development and the increase of audience contributes to the flourishing of independent films. The independent film industry in the Philippines is still young and filmmakers are still looking for audiences who are genuinely interested in their films’ content. Researchers concluded that there have been significant changes that happened in the independent filmmaking industry that made the contemporary films different from the product of the early years of independent filmmaking. It is recommended that the roles and implications of the independent film festivals to the industry be further studied and analyzed.","Keywords: Contemporary, Development, Emergence, Independent Films",March 2015
19,,JOHANNA YVONNE G. JIMENEZ CHIEL HANEI T. MACALALAD,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Architecture,"The main objective of this thesis is to be able to design an amphibious shelter for communities affected by severe flooding. It is for the people to have a safe shelter even during typhoon surges. The study emphasized the innovation of a Filipino house to withstand storm surges and adapt to the flood. The site is at southernmost town in the province of Masantol, Pampanga, which is highly affected by the flood. The study was conducted on  — . The study also emphasized the laws that will be used in designing and planning such as National Building Code of the Philippines etc. In order to obtain data needed the proponents interviewed MDRRM Officers and other government officials and conducted survey in the towns around Pampanga River — these are municipality of Calumpit, Bulacan, Masantol and Macabebe, Pampanga. Based on the acquired data and site criteria, Masantol, Pampanga is the most compatible site since it experiences severe flood. Based on the findings of the study, it would be helpful to find more private and public sectors participating in urban upgrading and housing projects. It is also recommended to use and introduce innovative construction methods and materials that are available in the local markets to lessen the cost of the housing unit.",Keywords: Amphibious House; Flood-proof House; Flood Resilient Shelter,November 2018
20,LPU ONLINE CLASS RECORD SYSTEM,ARON EJAY A. ABUDA MARLO EMMAN L. GOLFO MARK JOSEPH B. MARANAN LAURENCE S. SALVADOR PAUL ANTHONY VISTRO,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Information Technology,"This paper describes a capstone project for Lyceum of the Philippines University Cavite Campus which is suitable for the instructors and student. The proponents decided to propose a system that would handle the existing system e — Class Record, online. This study involves php codes, database, analysis and design of the system. In addition, instructors may access the system via online using gadgets. Instructors may encode grade and put the performance of every student, and the student can view their grades online during their semester period. This proposed project used Prototyped model to allow the developer to create a design and redesign if the system did not meet the client’s requirement. The proposed project got an overall marked of Strongly Acceptable interpretation. The Content ranked first, followed by Functionality. Saleability got the third rank, Availability got the fourth rank and the last one is Reliability. All the level of System’s Effectiveness almost got a mark of Strongly Acceptable which means that the system is ready for deployment. The proponents successfully developed a system that allows the students to view their grades online. It provides an easy access on the grades of the students and it can be easily adopted by the instructor because some of the functions of the existing system were nearly the same with the proposed project. Due to the positive result of the project, the system can give an accurate data process for the calculation of the grades of each student.","Keywords: Capstone, Thesis, LPU, Online Class Record System, Web-based application",March 2014
21,AGIMAT: AN ADVENTURE ROLE PLAYING PC GAME BASED ON THE PHILIPPINE HISTORY AND FOLKLORE,ZOREN SERGE L. LEGASPI JHOMANE M. PONTERES GLENN B. REGIO LAENGEL N. TONGOL,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Information Technology,"This study is a first person point of the view desktop game application, a 3D game designed to educate Filipino youths while entertaining them. The application is developed to run only in Windows operating system. The study develops a role playing game that implemented a 3D-perspective view using the Unity 3D application for the game engine, C# for the programming language, Autodesk Maya for creating the 3D objects and characters, and Adobe Premiere, Adobe Illustrator, Adobe Photoshop, and Adobe After Effects for the user interface and videos of the game. The game was tested by the researcher’s technical adviser and other captone group to determine bugs and errors in the game for it to be corrected. The results were both the same with 87/100 for the functionality test with a percentage of 87 and 4/4 for the compatibility test with a percentage of 100. The game was further evaluated by IT experts and end users using the criteria set PC Game Application. According to the results with the overall mean .46 and a standard deviation of 0.14, the game is Highly Acceptable in terms of functionality, engagement, and aesthetics. Nevertheless, some features of the game needs to be improved such as its design and animation.","Keywords: Desktop, 3D Game, Interact, History, Folklore",May 2018
22,A CORRELATIONAL STUDY ON FACEBOOK POSTERS’ EXPOSURE TO INE INCIVILITY AND THEIR PARTICIPATION TO ONLINE POLITICAL DISCOURSE,JUNE DEE A. SARMIENTO MA. VERONICA S. SORIMA ALLYSSA MARIE S. STA. ROMANA,COLLEGE OF ARTS AND SCIENCES,Bachelor of Arts in Communication," The study generally aimed to determine the correlation between the Facebook posters’ level of exposure to online incivility and their level of participation in online political discourse. The study utilized the quantitative type of research and specifically used the correlational research design, a type of non-experimental quantitative research design. Survey through web-based questionnaires were conducted for the gathering of data from the three hundred eighty-five (385) respondents. The findings of the study explained that there is a significant correlation between the Facebook posters’ level of exposure to online incivility in Facebook and their level of participation in online political discourse. More specifically, there is a very distinct significant correlation between the different types of online incivility and sharing Facebook posts about political issues from online news media pages onto their own Facebook profile as well as sharing Facebook posts about political issues from online news media pages onto their own Facebook profile and then putting their opinion about it as the caption. Their level of exposure towards online incivility varies from its different types and was within the sometimes to often range. They also resorted to doing online activities which allow them to state their own opinions, but not further add up to the spiral of online incivility in the platform after they were exposed to it. For future researchers, it is highly encouraged to pursue research studies focusing upon an individual’s specific location within the country, the type of political issue being talked about, and the nature of the accounts used by Facebook Posters in participating in such discourses to know if the said factors have an impact towards their action online when participating in various discourses which are political in nature.","Keywords: Facebook Posters, Online Incivility, Online Political Discourse",May 2019
23,DAVAO FOOD COMPLEX: A BOND BETWEEN AGRICULTURAL PROCESSING SECTOR AND TOURISM THROUGH EFFICIENT PLANNING INCORPORATING CONTEXTUAL ARCHITECTURE,JOLEENE SHEINE A. BAWALAN JOYCE ANN S. ESTANQUE,"COLLEGE OF ENGINEERING, COMPUTER STUDIES AND ARCHITECTURE",Bachelor of Science in Architecture,"The purpose of this Study is to design the Davao Food Complex, a centralized food d history of Davao region, addressing the system that uplifts socio-cultural environment an facilities that will help them on for adequate agricultural processing needs of small farmers their high volume of fresh produce. Davao Region is known as the fruit basket of the Philippines owing to its bountiful production of fruits, not only those but also vegetables and marine products. It has fertile soil that is good for most crops and is blessed with good climate. The development of this food complex will help promote the region and its products through conventions or conferences and other activities not only for the locals but also the foreigners. This will also produce globally competitive products that will uplift and help not only the region’s economy but also the Gross Domestic Product (GDP) of the country. The authors had undergone interviews and studies to the current condition of existing food facilities, and status of the economy and tourism in the region. They conducted different interviews at the endorser of the project which is the National onomic Development Council (NDC) and National Ec and Development Authority who this (NEDA) approved project. They also conducted interviews at the Department of faddressing the demand of facilities that Agriculture in Davao. This study shows the need 0 will cater the harvest of farmers and this proposal can help to the economic growth of the region.","Keywords: Davao Food Complex, agricultural processing sector, tourism",July 2019
